epoch,train_loss,train_ppl,dev_loss,dev_ppl,lr,grad_norm,is_best
1,5.813811726794399,334.89321733705594,5.163913166643818,174.84732536351243,0.0005,1.5672232800390349,True
2,5.0384278224678125,154.22735154389107,4.759795217064311,116.72202077331903,0.0005,1.502643095935985,True
3,4.73243077471613,113.57129332123822,4.5543074422914485,95.0409111221602,0.0005,1.3545814440636321,True
4,4.538889104898218,93.5867772584804,4.431183554412721,84.03081311792613,0.0005,1.272271937006037,True
5,4.402263319051305,81.63542674588822,4.334790895141763,76.30900063859121,0.0005,1.2212929277182083,True
6,4.298929722704417,73.62095667997168,4.277383026334881,72.0516358337975,0.0005,1.1863849243138436,True
7,4.2164414957088,67.79181708553982,4.229254494369056,68.66602218135864,0.0005,1.158236445903168,True
8,4.148801414771617,63.35801478903989,4.1827636518824445,65.5467515321428,0.0005,1.145888650066488,True
9,4.0920683058026,59.863579937255025,4.150576714869024,63.470594180400646,0.0005,1.1331854646433186,True
10,4.0435326796731355,57.02744708094412,4.12492622640211,61.86324520784089,0.0005,1.1208563938937124,True
11,4.002063788294506,54.71094540893739,4.101698369518923,60.4428547764114,0.0005,1.1074250078094516,True
12,3.963896595386251,52.6621296828738,4.079860040369899,59.13719245106425,0.0005,1.10706409699476,True
13,3.9297756885552735,50.89555993210622,4.068741697947745,58.48332658357517,0.0005,1.0950146346083072,True
14,3.899224164306799,49.364135786524564,4.051139798513923,57.46291587954376,0.0005,1.0982741774539495,True
15,3.8713366774386353,48.00651243522549,4.034521379116367,56.51586409121036,0.0005,1.1014198161285045,True
16,3.8472378960570133,46.863442601569595,4.01340086789003,55.33473705829325,0.0005,1.0930015202981116,True
17,3.823622092203139,45.76969048314197,4.009908738142596,55.141837987270804,0.0005,1.086346610913426,True
18,3.8019468837811985,44.78829727610748,4.0001057705655745,54.603925215769344,0.0005,1.0870943829865312,True
19,3.780644801343736,43.84430348879128,3.9883208303211966,53.96419819635496,0.0005,1.0846373643618856,True
20,3.76160592147171,43.01745318952341,3.986094174378766,53.8441721716838,0.0005,1.0861499698133097,True
21,3.7441148196507337,42.271572687650725,3.96821399899294,52.88998486896923,0.0005,1.0857290674003361,True
22,3.7262589260184757,41.52347483631575,3.9655203208079928,52.7477079806296,0.0005,1.0872090568316723,True
23,3.710693983289166,40.882168226153176,3.963021247156114,52.616052150745936,0.0005,1.0804956297956823,True
24,3.694483906047385,40.22480745018139,3.9508708208619856,51.98061293351012,0.0005,1.0862294300885362,True
25,3.679697628363083,39.63440793972364,3.9498111309240933,51.925558776339095,0.0005,1.085030102607766,True
26,3.6662905790609797,39.10657373447026,3.942709107081656,51.55808865521804,0.0005,1.081512930030176,True
27,3.6527112249586353,38.57912106043126,3.939111994422093,51.372961562933774,0.0005,1.0810847923073796,True
28,3.639487784046529,38.072330475064035,3.9337247952816683,51.09694932254626,0.0005,1.0815703723572494,True
29,3.62737056939569,37.61378364022274,3.928166667918058,50.8137337734754,0.0005,1.0822623489151684,True
30,3.615011502071775,37.15177324555142,3.9207944152672876,50.44049956883739,0.0005,1.0804011102906421,True
31,3.6037371540059846,36.73526357213664,3.919355748770467,50.36798468689776,0.0005,1.0750055521326194,True
32,3.5927019279279837,36.33211016925525,3.915209622552641,50.159584989312116,0.0005,1.0865484559223275,True
33,3.5813724238667044,35.9228083509204,3.9095455648196116,49.8762812857358,0.0005,1.0834244737164453,True
34,3.57207148506266,35.59024149820783,3.912569865949952,50.0273505038641,0.0005,1.0769587833760872,False
35,3.560841788351836,35.1928095768281,3.906643846039557,49.731764119140394,0.0005,1.0839010765364898,True
36,3.5512439523922263,34.856650543713606,3.899825074134357,49.39380809514566,0.0005,1.0807190700669511,True
37,3.5423831789224747,34.54915798214947,3.9079192778744396,49.795234061491314,0.0005,1.0776378577211616,False
38,3.5315556669548243,34.17709445666196,3.90456089870825,49.62828328376628,0.0005,1.0747435925408044,False
39,3.5236810568265238,33.909020038523366,3.9008944828604504,49.44665851885293,0.0005,1.0768806609448454,False
40,3.514304995241168,33.59257281094052,3.8999655996805704,49.40074967473099,0.00025,1.0849991046078145,False
41,3.433092279821635,30.97226974552622,3.867461569739698,47.82084200808212,0.00025,1.0294126052926613,True
42,3.411709084362831,30.31701434221902,3.87307240282787,48.08991091519929,0.00025,1.0301197392774253,False
43,3.401367857510525,30.00511471140608,3.871138271228392,47.99698858985249,0.00025,1.0265222674978138,False
44,3.392736863848224,29.747255149366488,3.8748192541116273,48.1739902534867,0.00025,1.035635354537195,False
45,3.385127362242915,29.521752433328096,3.8759727810769595,48.22959231334398,0.000125,1.0448253819062323,False
46,3.3419905683465303,28.27535475011179,3.8668761956143594,47.79285711613361,0.000125,1.0197800832609298,True
47,3.330434639403238,27.950487446719997,3.8579635709081956,47.36878990013568,0.000125,1.022182594715443,True
48,3.325535313752232,27.813883812704017,3.86151242392764,47.53719341611882,0.000125,1.0268372093647318,False
49,3.3205354162401086,27.675164324824518,3.8655922366638653,47.7315324270861,0.000125,1.031188366356677,False
50,3.316377269633036,27.560325857244035,3.8652413403110497,47.71478654464949,0.000125,1.0376755192504048,False
51,3.31301782328079,27.467893768329613,3.860825183756887,47.50453517051294,6.25e-05,1.0435542521077092,False
52,3.2898610480885258,26.839134047808223,3.8600880253484844,47.46952970684583,6.25e-05,1.0287736203528641,False
53,3.285315721401876,26.717418244173295,3.8597966288441476,47.45569926699553,6.25e-05,1.0307058333892969,False
54,3.282224580177583,26.63495844433503,3.8607104874329714,47.49908688741454,6.25e-05,1.0316460944106773,False
55,3.279414899002518,26.560227736888553,3.8599778347749516,47.464299300318146,3.125e-05,1.0409380210490846,False
56,3.2684021799806433,26.269332127449466,3.859298450140871,47.4320637361195,3.125e-05,1.0382437406254363,False
57,3.2647444601677975,26.17342178436907,3.860415142013653,47.48506032112355,3.125e-05,1.0344536958485175,False
