epoch,train_loss,train_ppl,val_loss,val_ppl,lr,grad_norm,is_best
1,17.157988914637546,28289150.502523314,7.200784946318307,1340.4825583884635,0.0004666666666666666,8.453235821959414,True
2,6.555770950995434,703.2911438781317,6.030384125552854,415.874746821288,0.0007333333333333332,4.788206865169384,True
3,6.009128972164838,407.1285454913644,5.734435897804646,309.3384230489133,0.001,2.156107563442654,True
4,5.811877722884181,334.2461584541121,5.567515072635756,261.7827791424841,0.0009992415174584414,1.5324542949229112,True
5,5.642254705599461,282.0980500163046,5.380545975379074,217.14079659591658,0.0009969683733203158,1.1857412697356424,True
6,5.481181750560317,240.1303138981638,5.2585031694266,192.19359463627313,0.0009931874710496598,1.0071375339119524,True
7,5.3813707790397665,217.31996900070465,5.185112720525046,178.5935798173576,0.000987910293122404,0.9880337481145506,True
8,5.3156392709176234,203.49455971083773,5.132523856802296,169.44423180823674,0.0009811528661544705,0.8488905000097957,True
9,5.2674893094199255,193.92845636441325,5.093246363401077,162.9178951883478,0.000972935712229467,0.8161183542675442,True
10,5.226749068965539,186.18653899421642,5.053177873962923,156.51907287541962,0.0009632837865737935,0.7967579219076368,True
11,5.190782730411837,179.60908341774825,5.016231538401312,150.8417898797421,0.0009522264017684402,0.7663717225745872,True
12,5.159661959444655,174.10559090570507,4.991031042511137,147.08799932188586,0.0009397971387276415,0.754266232178535,True
13,5.131429731696825,169.25894000492954,4.968249207624429,143.77494680679828,0.0009260337447147447,0.743556903468238,True
14,5.106020957085292,165.01245519555036,4.943527211947592,140.26411933382374,0.0009109780187050102,0.7361961388293607,True
15,5.081315943754989,160.98576481141038,4.924015506744286,137.55385411884757,0.0008946756844434989,0.7244752658738031,True
16,5.058770252449223,157.39683888347918,4.904492510823854,134.89443516739047,0.00087717625158356,0.7128997214046525,True
17,5.037851894990589,154.13855334751264,4.8849053059710545,132.27793881024405,0.0008585328653276417,0.7064697137585393,True
18,5.0168512232762605,150.93529322375255,4.865147022302298,129.6900045332684,0.0008388021450270581,0.6982905755808324,True
19,4.997012674135233,147.97046220289016,4.849543000872509,127.68202593646748,0.0008180440122308794,0.6988127874739376,True
20,4.97977106669053,145.44108153387364,4.834062098053476,125.72061428502371,0.0007963215087061579,0.6972910156956426,True
21,4.961270929491686,142.77513776948342,4.819497435131513,123.90280593267815,0.0007737006049821526,0.6816123676888737,True
22,4.943008661136022,140.19140411580608,4.803554739520766,121.9431240258883,0.0007502500000000004,0.7028017219202018,True
23,4.926850186914437,137.94432847493462,4.789339258577307,120.2219068204895,0.0007260409124762896,0.6851165924543215,True
24,4.911247404826105,135.80871724124046,4.776712799087086,118.71347291441914,0.0007011468646141585,0.6683859888418221,True
25,4.895345844327962,133.6662263278888,4.767257063340959,117.59624013837416,0.0006756434588187812,0.6628361484150828,True
26,4.880282827345753,131.66789790226758,4.754087020329385,116.05764650891965,0.0006496081480953467,0.6551341748531954,True
27,4.865852127246944,129.7814818434978,4.742452521137868,114.71519841304155,0.0006231200008268294,0.6685036441426219,True
28,4.853384537570435,128.1734644599665,4.7298422649825556,113.27769308049814,0.0005962594606459075,0.6593917087272362,True
29,4.839645332708277,126.42450514092995,4.717845012719149,111.92679177601487,0.0005691081021302949,0.6528644430784531,True
30,4.826236622252976,124.74063008266596,4.708239778178171,110.85685541051635,0.0005417483830634303,0.6432941785565129,True
31,4.815384605425744,123.3942612874234,4.701005395105398,110.05776838814951,0.0005142633940128971,0.6441821921018906,True
32,4.803384215328836,121.9223315460632,4.687672702335998,108.60014061929837,0.0004867366059871033,0.641759964124656,True
