epoch,train_loss,val_loss,val_acc,test_loss,test_acc,lr
1,1.9980516989390056,2.207527746582031,0.2036,2.2071895374298096,0.2009,0.000112
2,1.8615731587092081,2.1222959781646726,0.2348,2.1199216941833496,0.237,0.000144
3,1.7691404502868653,2.0549162776947023,0.2608,2.050183448600769,0.2689,0.00017600000000000002
4,1.692508739704556,2.0024984729766846,0.281,1.9946529102325439,0.2917,0.00020800000000000004
5,1.6765088796403673,1.9583264907836915,0.302,1.9482654308319092,0.3167,0.00024000000000000003
6,1.6062585639529758,1.916586912536621,0.325,1.9053697315216065,0.3346,0.00027200000000000005
7,1.5707001280466715,1.8738349327087402,0.3378,1.8630279888153076,0.3531,0.00030400000000000007
8,1.5569637549930149,1.827204941177368,0.3598,1.8177166080474854,0.3727,0.00033600000000000004
9,1.5125472152074178,1.7787737133026122,0.3806,1.7711449626922608,0.3886,0.00036800000000000005
10,1.5087097103118896,1.7283052577972413,0.4058,1.722408967590332,0.4062,0.0004
11,1.486482456249661,1.6757745189666748,0.4298,1.671041262435913,0.4273,0.0003999726678332442
12,1.4642697822994657,1.6225943256378175,0.453,1.6191789937973022,0.4488,0.00039989067880531813
13,1.4445657369825575,1.5707632890701293,0.4758,1.5684070642471313,0.4722,0.0003997540553312035
14,1.3980533960342407,1.514800070953369,0.4958,1.5132891963958741,0.4927,0.00039956283476239393
15,1.402239712715149,1.4594604419708253,0.52,1.458905228805542,0.514,0.0003993170693766836
16,1.3549790610419379,1.4040785123825072,0.542,1.4045215591430664,0.5398,0.000399016826363875
17,1.344277925321791,1.3507444290161132,0.5654,1.3512184329986572,0.564,0.0003986621878074099
18,1.3124272497389051,1.3008070804595948,0.5818,1.3014879764556884,0.5851,0.00039825325066192866
19,1.318256996981303,1.2542932373046876,0.6002,1.2545555696487427,0.6057,0.0003977901267267636
20,1.287730371454027,1.2117394603729248,0.6194,1.211775623321533,0.6247,0.0003972729426153743
21,1.302597474140591,1.172813418006897,0.6372,1.1720684707641602,0.6391,0.00039670183972073284
22,1.302383160273234,1.1384374961853028,0.6504,1.1368805826187134,0.6539,0.00039607697417666813
23,1.247534210809072,1.1071136835098268,0.6644,1.1044077327728272,0.6671,0.0003953985168151807
24,1.2351156160990397,1.0792640535354614,0.678,1.0755165252685548,0.6809,0.0003946666531197388
25,1.2345299680497912,1.0550481008529664,0.6834,1.0504489599227906,0.6923,0.00039388158317456913
26,1.2674370535320705,1.0336133390426636,0.6932,1.0282355363845825,0.7026,0.0003930435216099559
27,1.2041799386342367,1.0130876419067383,0.7016,1.0070209051132202,0.7127,0.00039215269754356284
28,1.19135208307902,0.9945290115356445,0.707,0.9876683666229248,0.7199,0.00039120935451779484
29,1.1979873602337308,0.977038102722168,0.7158,0.9697835197448731,0.7242,0.000390213750433216
30,1.1858919635136922,0.9609825227737426,0.7232,0.9532078658103943,0.7303,0.00038916615747804187
31,1.1758104168574015,0.9465649110794068,0.7274,0.9380616748809815,0.7385,0.0003880668620537265
32,1.1495816945499844,0.9329355634689331,0.7306,0.924076902294159,0.7415,0.00038691616469666224
33,1.170562134191725,0.9207111377716064,0.7366,0.91148873462677,0.746,0.00038571437999601697
34,1.131828551917606,0.9094273056983948,0.7394,0.8998726919174195,0.7519,0.0003844618365077281
35,1.1144671023050945,0.8983254234313964,0.7456,0.8886379714012146,0.7571,0.0003831588766646787
36,1.1536949643876817,0.8884297012329102,0.7508,0.8783944068908691,0.7612,0.00038180585668308003
37,1.1456041023890178,0.8795140989303589,0.7544,0.8690518635749817,0.7648,0.00038040314646508515
38,1.1164002475526598,0.8713039831161499,0.757,0.8601621804237366,0.7702,0.00037895112949766166
39,1.0875585655212403,0.8626145997047424,0.7636,0.8510476586341857,0.7728,0.0003774502027477502
40,1.1246408265007868,0.8547809885978699,0.7674,0.8430543134689331,0.7769,0.0003759007765537375
41,1.0822705730438233,0.8470622530937195,0.771,0.8344916718482971,0.7793,0.00037430327451327413
42,1.0986771709018284,0.8402472231864929,0.7738,0.8269363065719605,0.7825,0.00037265813336746697
43,1.0648022135734558,0.8333184566497803,0.7746,0.8193584980010986,0.7877,0.0003709658028814786
44,1.093229528119829,0.826470468711853,0.7786,0.8122318952560424,0.7917,0.0003692267457215661
45,1.0163918402883743,0.8200392375946045,0.7802,0.8054351667404175,0.7934,0.0003674414373285927
46,1.0670122865888807,0.8133172222137451,0.7842,0.7986094056129456,0.7968,0.0003656103657880467
47,1.028544386545817,0.8069424291610717,0.7868,0.7925272008895874,0.7987,0.00036373403169660427
48,1.0382540167808532,0.8007035475730896,0.7896,0.7862488665580749,0.801,0.0003618129480252709
49,1.0476296807607015,0.7948889339447022,0.7912,0.7806031167030334,0.8039,0.0003598476399791404
50,1.0577070025020177,0.7893456411361695,0.7958,0.7748533390998841,0.8059,0.0003578386448538091
